time,x,is_anomaly,x1
1,57.55714993,0,57.55714993
2,46.12455312,0,46.12455312
3,36.01926783,0,36.01926783
4,69.72747103,0,69.72747103
5,54.86320662,0,54.86320662
6,42.78655228,0,42.78655228
7,51.65724522,0,51.65724522
8,46.56212962,0,46.56212962
9,43.56935252,0,43.56935252
10,52.62616077,0,52.62616077
11,59.00620744,0,59.00620744
12,65.73851423,0,65.73851423
13,77.07537603,0,77.07537603
14,55.95014089,0,55.95014089
15,47.56665333,0,47.56665333
16,54.07059058,0,54.07059058
17,45.58596235,0,45.58596235
18,60.97499312,0,60.97499312
19,61.3727248,0,61.3727248
20,53.15454256,0,53.15454256
21,68.09018346,0,68.09018346
22,52.8453358,0,52.8453358
23,55.73800718,0,55.73800718
24,60.75153465,0,60.75153465
25,70.0318038,0,70.0318038
26,53.00881363,0,53.00881363
27,72.13026832,0,72.13026832
28,68.4205494,0,68.4205494
29,65.93779798,0,65.93779798
30,48.49776901,0,48.49776901
31,50.16128833,0,50.16128833
32,53.61712359,0,53.61712359
33,54.93588962,0,54.93588962
34,64.47191224,0,64.47191224
35,58.64037691,0,58.64037691
36,60.17301344,0,60.17301344
37,86.16877916,0,86.16877916
38,50.62063202,0,50.62063202
39,44.9786728,0,44.9786728
40,45.26687847,0,45.26687847
41,53.68371493,0,53.68371493
42,66.56974194,0,66.56974194
43,74.9972338,0,74.9972338
44,70.9477125,0,70.9477125
45,58.54341578,0,58.54341578
46,73.81612695,0,73.81612695
47,66.46315626,0,66.46315626
48,76.54388615,0,76.54388615
49,57.99941137,0,57.99941137
50,51.65647381,0,51.65647381
51,72.30765857,0,72.30765857
52,67.73492725,0,67.73492725
53,50.65965187,0,50.65965187
54,62.91160727,0,62.91160727
55,78.67379307,0,78.67379307
56,55.44230569,0,55.44230569
57,55.58926552,0,55.58926552
58,55.70464692,0,55.70464692
59,59.7120738,0,59.7120738
60,54.65673473,0,54.65673473
61,48.4157479,0,48.4157479
62,50.75679427,0,50.75679427
63,58.94775531,0,58.94775531
64,59.68885289,0,59.68885289
65,48.47791981,0,48.47791981
66,59.17548658,0,59.17548658
67,74.56111974,0,74.56111974
68,50.00588409,0,50.00588409
69,47.48890717,0,47.48890717
70,58.9584209,0,58.9584209
71,61.90971744,0,61.90971744
72,66.51085267,0,66.51085267
73,45.90880977,0,45.90880977
74,50.33472267,0,50.33472267
75,62.70363276,0,62.70363276
76,58.16743288,0,58.16743288
77,61.1803489,0,61.1803489
78,57.21460167,0,57.21460167
79,61.9076316,0,61.9076316
80,41.48664641,0,41.48664641
81,52.31738554,0,52.31738554
82,45.33974762,0,45.33974762
83,66.57102685,0,66.57102685
84,53.55589372,0,53.55589372
85,58.82006762,0,58.82006762
86,51.74462101,0,51.74462101
87,65.74123228,0,65.74123228
88,45.61067318,0,45.61067318
89,31.84775779,0,31.84775779
90,48.84163189,0,48.84163189
91,61.11801785,0,61.11801785
92,53.45939066,0,53.45939066
93,51.22697109,0,51.22697109
94,31.91565918,0,31.91565918
95,54.88896545,0,54.88896545
96,52.4191581,0,52.4191581
97,71.63543265,0,71.63543265
98,21.36400189,0,21.36400189
99,70.40245115,0,70.40245115
100,40.34583032,0,40.34583032
101,51.42177062,0,51.42177062
102,39.71636645,0,39.71636645
103,42.89998074,0,42.89998074
104,48.53614253,0,48.53614253
105,47.10469136,0,47.10469136
106,58.90492617,0,58.90492617
107,42.39064863,0,42.39064863
108,39.3518546,0,39.3518546
109,55.00809935,0,55.00809935
110,56.59803698,0,56.59803698
111,38.72833699,0,38.72833699
112,25.97126855,0,25.97126855
113,68.1482304,0,68.1482304
114,41.28445146,0,41.28445146
115,55.56308701,0,55.56308701
116,31.85134943,0,31.85134943
