time,true_time,Point.Forecast,Lo.80,Hi.80,Lo.95,Hi.95
1473,5.032877,74.4520431,64.25637012,84.64771608,58.85910686,90.04497933
1474,5.035616,69.16014178,58.96307327,79.35721029,53.56507127,84.7552123
1475,5.038356,75.91080471,65.71234086,86.10926856,60.3136002,91.50800921
1476,5.041096,68.10428787,57.90442887,78.30414687,52.50494967,83.70362607
1477,5.043836,71.49309384,61.29183988,81.6943478,55.89162224,87.09456545
1478,5.046575,72.13733938,61.93469065,82.33998811,56.53373466,87.7409441
1479,5.049315,64.84265977,54.63861646,75.04670307,49.23692223,80.44839731
1480,5.052055,75.44998345,65.24454576,85.65542114,59.84211338,91.05785351
1481,5.054795,65.61330838,55.40647649,75.82014026,50.00330607,81.22331068
1482,5.057534,64.75255092,54.54432503,74.96077681,49.14041666,80.36468517
1483,5.060274,63.62405128,53.41443157,73.83367098,48.00978537,79.23831719
1484,5.063014,61.06489143,50.8538781,71.27590477,45.44849416,76.68128871
1485,5.065753,81.75801545,71.54560869,91.97042222,66.13948711,97.3765438
1486,5.068493,80.51051576,70.29671575,90.72431577,64.88985663,96.13117489
1487,5.071233,72.50318587,62.28799281,82.71837894,56.88039625,88.1259755
1488,5.073973,70.56127565,60.34468972,80.77786158,54.93635583,86.18619548
1489,5.076712,71.48713865,61.26916005,81.70511726,55.86008892,87.11418839
1490,5.079452,69.18261053,58.96323945,79.40198162,53.55343117,84.81178989
1491,5.082192,75.93460971,65.71384633,86.1553731,60.30330102,91.5659184
1492,5.084932,68.89357937,58.67142388,79.11573486,53.26014164,84.5270171
1493,5.087671,68.5973504,58.373803,78.8208978,52.96178392,84.23291688
1494,5.090411,81.1567703,70.93183117,91.38170943,65.51907535,96.79446524
1495,5.093151,76.61937345,66.39304279,86.84570412,60.97955034,92.25919657
1496,5.09589,78.18770538,67.95998337,88.4154274,62.54575438,93.82965638
1497,5.09863,86.00309095,75.77397777,96.23220412,70.35901235,101.6471695
1498,5.10137,73.90929004,63.6787859,84.13979418,58.26308414,89.55549594
1499,5.10411,79.44093705,69.20904212,89.67283197,63.79260413,95.08926996
1500,5.106849,74.11017999,63.87689447,84.3434655,58.45972035,89.76063962
1501,5.109589,76.76271102,66.5280351,86.99738693,61.11012494,92.41529709
1502,5.112329,69.79530746,59.55924133,80.03137359,54.14059524,85.45001968
1503,5.115068,70.77100173,60.53354558,81.00845789,55.11416365,86.42783982
1504,5.117808,70.25151006,60.01266407,80.49035605,54.59254641,85.91047371
1505,5.120548,73.00740182,62.76716619,83.24763746,57.34631289,88.66849076
1506,5.123288,75.38677578,65.14515068,85.62840087,59.72356185,91.04998971
1507,5.126027,69.15396427,58.91094991,79.39697864,53.48862564,84.8193029
1508,5.128767,74.13659783,63.89219438,84.38100128,58.46913478,89.80406088
1509,5.131507,76.34818793,66.10239559,86.59398027,60.67860075,92.01777511
1510,5.134247,78.74661578,68.49943474,88.99379683,63.07490476,94.4183268
1511,5.136986,74.42122579,64.17265623,84.66979535,58.74739122,90.09506036
1512,5.139726,78.87517452,68.62521663,89.12513242,63.19921669,94.55113236
1513,5.142466,73.47049515,63.21914912,83.72184119,57.79241434,89.14857597
1514,5.145205,78.00623016,67.75349617,88.25896414,62.32602665,93.68643367
1515,5.147945,78.57016596,68.31604421,88.82428771,62.88784005,94.25249188
1516,5.150685,76.01454064,65.75903131,86.27004997,60.33009261,91.69898867
1517,5.153425,76.55899623,66.30209952,86.81589295,60.87242638,92.24556609
1518,5.156164,72.19570058,61.93741667,82.4539845,56.50700919,87.88439198
1519,5.158904,71.99379737,61.73412644,82.25346831,56.30298472,87.68461003
1520,5.161644,73.8663488,63.60529104,84.12740656,58.17341518,89.55928242
1521,5.164384,68.72786691,58.46542251,78.99031131,53.0328126,84.42292121
1522,5.167123,69.95859921,59.69476836,80.22243006,54.26142451,85.65577391
1523,5.169863,73.03544109,62.77022397,83.3006582,57.33614628,88.7347359
1524,5.172603,81.09578322,70.82918003,91.36238641,65.39436859,96.79719785
1525,5.175342,62.17004784,51.90205875,72.43803692,46.46651367,77.87358201
1526,5.178082,64.34164438,54.0722696,74.61101917,48.63599096,80.0472978
1527,5.180822,74.72170261,64.4509423,84.99246291,59.01393022,90.42947499
1528,5.183562,81.84809737,71.57595174,92.12024301,66.13820631,97.55798844
1529,5.186301,74.40560662,64.13207584,84.67913739,58.69359716,90.11761607
1530,5.189041,70.21800997,59.94309424,80.4929257,54.50388241,85.93213754
1531,5.191781,76.33174404,66.05544354,86.60804454,60.61549865,92.04798943
1532,5.194521,78.12830749,67.8506224,88.40599257,62.40994457,93.84667041
1533,5.19726,65.73561287,55.45654339,76.01468235,50.01513269,81.45609304
1534,5.2,71.72319808,61.44274439,82.00365178,56.00060094,87.44579523
1535,5.20274,60.00094442,49.7191067,70.28278213,44.27623059,75.72565824
1536,5.205479,67.73927621,57.45605466,78.02249777,52.01244599,83.46610643
1537,5.208219,72.00971577,61.72511056,82.29432097,56.28076944,87.7386621
1538,5.210959,66.98747975,56.70149108,77.27346842,51.25641759,82.71854191
1539,5.213699,68.19692139,57.90954944,78.48429334,52.46374369,83.93009909
1540,5.216438,70.4151323,60.12637726,80.70388735,54.67983935,86.15042526
1541,5.219178,67.93197934,57.64184139,78.22211729,52.1945714,83.66938727
1542,5.221918,69.04852723,58.75700656,79.3400479,53.30900461,84.78804985
1543,5.224658,66.12964906,55.83674585,76.42255226,50.38801203,81.87128609
