"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"4.835616",62.2873852554571,52.1926974763156,72.3820730345987,46.8488925609503,77.7258779499639
"4.838356",49.6040971008112,39.5079998322745,59.700194369348,34.1634487782942,65.0447454233282
"4.841096",59.3383705082331,49.2408639470488,69.4358770694175,43.8955668586055,74.7811741578608
"4.843836",51.8381103576414,41.7391947004747,61.9370260148081,36.3931516816767,67.2830690336062
"4.846575",63.9886361143686,53.8883115578026,74.0889606709347,48.5415227127144,79.4357495160228
"4.849315",57.9204081808726,47.8186749214079,68.0221414403374,42.4711403540508,73.3696760076944
"4.852055",50.3528602794777,40.2497185135327,60.4560020454227,34.9014383278844,65.8042822310709
"4.854795",49.9566705979529,39.8521205218641,60.0612206740418,34.5030948218588,65.4102463740471
"4.857534",50.9324050399315,40.826446849953,61.0383632299099,35.4766757394814,66.3881343403815
"4.860274",62.2404111301522,52.1330450224564,72.347777237848,46.7825286053658,77.6982936549385
"4.863014",48.6578871092892,38.5491132799663,58.766660938612,33.1978516600607,64.1179225585177
"4.865753",59.4596564758825,49.349475120941,69.5698378308241,43.9974684019808,74.9218445497843
"4.868493",56.248257864074,46.1366691794403,66.3598465487078,40.7839174651429,71.7125982630052
"4.871233",50.3415333159337,40.2285374974525,60.4545291344149,34.8750408914918,65.8080257403757
"4.873973",61.3671591338789,51.2527563773133,71.4815618904446,45.8985149833198,76.8358032844381
"4.876712",46.4706198481598,36.3548103491909,56.5864293471286,30.9998242707522,61.9414154255673
"4.879452",57.225471647906,47.1082556021336,67.3426876936784,41.7525249427939,72.6984183530181
"4.882192",53.7402235425839,43.6216011455262,63.8588459396417,38.2651260087864,69.2153210763815
"4.884932",57.5960279760623,47.4759994231557,67.7160565289689,42.1187799124738,73.0732760396507
"4.887671",50.4844823050666,40.3630477916664,60.6059168184669,35.0050840104572,65.9638805996761
"4.890411",55.4704767254517,45.3476364468315,65.5933170040718,39.9889284984666,70.9520249524367
"4.893151",51.2603180393163,41.1360721906686,61.384563887964,35.7766201784767,66.744015900156
"4.895890",55.9715418885297,45.8458906649656,66.0971931120938,40.4856946922322,71.4573890848273
"4.898630",48.9967990951761,38.8697426917255,59.1238554986268,33.5088028616931,64.4847953286591
"4.901370",54.8614819229726,44.7330205345841,64.989943311361,39.3713369504525,70.3516268954927
"4.904110",63.8492384411836,53.7193722627249,73.9791046196423,48.3569450276507,79.3415318547165
"4.906849",60.4780444542334,50.346773680491,70.6093152279758,44.983602897588,75.9724860108789
"4.909589",65.5660412791366,55.4333661048161,75.6987164534571,50.069451877155,81.0626306811182
